epoch,step,test_acc,test_f1,test_loss,train_acc,train_loss,val_acc,val_loss
0,511,,,,,,0.8934472799301147,0.27468931674957275
0,511,,,,0.864501953125,0.929120659828186,,
1,1023,,,,,,0.8934472799301147,0.528532862663269
1,1023,,,,0.884033203125,0.3585514724254608,,
2,1535,,,,,,0.8934472799301147,0.38103094696998596
2,1535,,,,0.8836669921875,0.3167697489261627,,
3,2047,,,,,,0.8934472799301147,0.23746775090694427
3,2047,,,,0.885009765625,0.27863430976867676,,
4,2559,,,,,,0.8660968542098999,0.24752956628799438
4,2559,,,,0.8939208984375,0.23307013511657715,,
5,3071,,,,,,0.9270655512809753,0.17669977247714996
5,3071,,,,0.9139404296875,0.20168696343898773,,
6,3583,,,,,,0.9361823201179504,0.1570224016904831
6,3583,,,,0.9075927734375,0.20925617218017578,,
7,4095,,,,,,0.9316239356994629,0.1532282531261444
7,4095,,,,0.919921875,0.1912500560283661,,
8,4607,,,,,,0.9418803453445435,0.14461594820022583
8,4607,,,,0.928466796875,0.16648638248443604,,
9,5119,,,,,,0.9378917217254639,0.13608033955097198
9,5119,,,,0.927734375,0.1738957017660141,,
10,5631,,,,,,0.94017094373703,0.12236529588699341
10,5631,,,,0.937744140625,0.14137251675128937,,
11,6143,,,,,,0.9413105249404907,0.14062871038913727
11,6143,,,,0.9326171875,0.1566043496131897,,
12,6655,,,,,,0.9407407641410828,0.126766636967659
12,6655,,,,0.9351806640625,0.14473867416381836,,
13,7167,,,,,,0.945868968963623,0.11226913332939148
13,7167,,,,0.93896484375,0.13780423998832703,,
14,7679,,,,,,0.9452991485595703,0.10522202402353287
14,7679,,,,0.9371337890625,0.1382748931646347,,
15,8191,,,,,,0.9447293281555176,0.11621932685375214
15,8191,,,,0.936767578125,0.14604659378528595,,
16,8703,,,,,,0.946438729763031,0.1148604080080986
16,8703,,,,0.9398193359375,0.130851149559021,,
17,9215,,,,,,0.9430199265480042,0.10967159271240234
17,9215,,,,0.9412841796875,0.11990734189748764,,
18,9727,,,,,,0.9430199265480042,0.11069917678833008
18,9727,,,,0.9422607421875,0.12702122330665588,,
19,10239,,,,,,0.9498575329780579,0.10151474177837372
19,10239,,,,0.94189453125,0.11662023514509201,,
20,10240,0.9385315775871277,0.6189506649971008,0.10699865967035294,,,,
