epoch,step,test_acc,test_f1,test_loss,train_acc,train_loss,val_acc,val_loss
0,511,,,,,,0.8934472799301147,0.2769988775253296
0,511,,,,0.866455078125,0.7191001176834106,,
1,1023,,,,,,0.8934472799301147,0.26545870304107666
1,1023,,,,0.88232421875,0.3549335300922394,,
2,1535,,,,,,0.8934472799301147,0.2105945348739624
2,1535,,,,0.8829345703125,0.29176926612854004,,
3,2047,,,,,,0.8934472799301147,0.32360097765922546
3,2047,,,,0.882568359375,0.2874058485031128,,
4,2559,,,,,,0.8934472799301147,0.2979971170425415
4,2559,,,,0.882568359375,0.26888564229011536,,
5,3071,,,,,,0.9259259104728699,0.17019197344779968
5,3071,,,,0.8857421875,0.21689341962337494,,
6,3583,,,,,,0.9310541152954102,0.15537230670452118
6,3583,,,,0.9091796875,0.20152577757835388,,
7,4095,,,,,,0.934472918510437,0.14269183576107025
7,4095,,,,0.9188232421875,0.18584750592708588,,
8,4607,,,,,,0.9293447136878967,0.1544155478477478
8,4607,,,,0.916748046875,0.20619362592697144,,
9,5119,,,,,,0.9350427389144897,0.1445368081331253
9,5119,,,,0.9171142578125,0.18410900235176086,,
10,5631,,,,,,0.9333333373069763,0.15521502494812012
10,5631,,,,0.919677734375,0.1707138568162918,,
11,6143,,,,,,0.9384615421295166,0.1405610740184784
11,6143,,,,0.925537109375,0.16820301115512848,,
12,6655,,,,,,0.94017094373703,0.12621840834617615
12,6655,,,,0.934326171875,0.13922175765037537,,
13,7167,,,,,,0.9407407641410828,0.12557287514209747
13,7167,,,,0.9339599609375,0.14296598732471466,,
14,7679,,,,,,0.9430199265480042,0.12981106340885162
14,7679,,,,0.93408203125,0.13756035268306732,,
15,8191,,,,,,0.9361823201179504,0.11572936177253723
15,8191,,,,0.9368896484375,0.12973052263259888,,
16,8703,,,,,,0.9361823201179504,0.1350005716085434
16,8703,,,,0.9346923828125,0.14372166991233826,,
17,9215,,,,,,0.9418803453445435,0.10238935053348541
17,9215,,,,0.937744140625,0.12459397315979004,,
18,9727,,,,,,0.9378917217254639,0.11396114528179169
18,9727,,,,0.93896484375,0.11638333648443222,,
19,10239,,,,,,0.94017094373703,0.12105905264616013
19,10239,,,,0.9403076171875,0.10979670286178589,,
20,10240,0.9294251799583435,0.5656272172927856,0.1083262711763382,,,,
