epoch,step,test_acc,test_f1,test_loss,train_acc,train_loss,val_acc,val_loss
0,511,,,,,,0.8934472799301147,0.3337363600730896
0,511,,,,0.86376953125,0.8338445425033569,,
1,1023,,,,,,0.8934472799301147,0.3573184907436371
1,1023,,,,0.882080078125,0.38490208983421326,,
2,1535,,,,,,0.8934472799301147,0.21624287962913513
2,1535,,,,0.8836669921875,0.3251081109046936,,
3,2047,,,,,,0.8934472799301147,0.2175651490688324
3,2047,,,,0.88427734375,0.28299766778945923,,
4,2559,,,,,,0.8934472799301147,0.40529242157936096
4,2559,,,,0.8836669921875,0.2478446364402771,,
5,3071,,,,,,0.8934472799301147,0.18593049049377441
5,3071,,,,0.883056640625,0.2588449716567993,,
6,3072,0.88730788230896,0.3134298324584961,0.1959352046251297,,,,
